no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
61.0,Hanmi,Rahul Mor,Module GF,13.03.2026,Samho,"Fire hydrant access is blocked ??,  materials stored nearby & infront of fire hydrant system ",Material needs to be removed from infront of fire hydrant for emergency purpose,Yes,WhatsApp Image 2026-03-13 at 8.44.30 AM,,Fire,화재/탄화,화재,1.0,1.0
62.0,Hanmi,Surender Kumar,Module 2F,13.03.2026,DSHI,Hard barricade not available near the edge area at height,Kindly provide hard barricade,Yes,WhatsApp Image 2026-03-13 at 8.48.06 AM,,Falling,전도/낙하/부딪힘,추락,0.3987,0.4053
63.0,Hanmi,Surender Kumar,Module 1F,13.03.2026,Hankuk,Unsafe & uneven staking of materials,Kindly do safe staking of all materials,No,WhatsApp Image 2026-03-13 at 8.49.30 AM (1),,Falling,전도/낙하/부딪힘,낙하,0.4822,0.4046
64.0,Hanmi,Surender Kumar,Module 1F,13.03.2026,Hankuk,"Materials scattered at site,housekeeping after work have not done",Do proper housekeeping at site,Yes,WhatsApp Image 2026-03-13 at 8.57.42 AM (1),,Falling,전도/낙하/부딪힘,낙하,0.4005,0.3664
65.0,Hanmi,Rahul Mor,Module GF,13.03.2026,DSHI,"Need to Clear all weeds and overgrowth within the barricaded area and around the drain. 
Housekeeping not maintained",Kindly clean the area & maintain housekeeping,Yes,WhatsApp Image 2026-03-13 at 9.00.13 AM,,Falling,전도/낙하/부딪힘,낙하,0.4041,0.331
66.0,Hanmi,Surender Kumar,Module 1F,13.03.2026,DSHI,Materials were lifted by fork lift in unsafe manner in loose condition,Kindly do not lift/shift any kind of loose materials,Yes,WhatsApp Image 2026-03-13 at 11.13.46 AM,,Dropping,전도/낙하/부딪힘,낙하,0.4771,0.4291
67.0,Hanmi,Surender Kumar,Module 1F,14.03.2026,DSHI,Material name tag not displayed & barricade for materials storage area was not done at many points.,Do proper barrication & provide material name tag,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.4767,0.4345
68.0,Hanmi,Surender Kumar,Module 1F,14.03.2026,Hankuk,"Poor housekeeping, materials scattered in haphazard manner.",Do proper housekeeping at site,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.4331,0.3873
69.0,Hanmi,Surender Kumar,Module 1F,14.03.2026,Hankuk,"Many unauthorized person were available in lifting work area ,unsafe act & condition.",Kindly remove the unauthorized person from the working area,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4295,0.4596
70.0,Hanmi,Surender Kumar,Module 1F,14.03.2026,DSHI,"Loose & different size of materials were lifted without tighten , chances to fall of materials during lifting","Do not lift / shift didderent size of materials & loose material, kindly retrain the lifting team",Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.412,0.4118
71.0,Hanmi,Surender Kumar,Module 1F,14.03.2026,Hankuk,Workers were found roaming in the unsafe zone or under the boom of concrete pump during concreting work,No one should be allowed under the boom/work area should be banned for unauthorized entry,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
72.0,Hanmi,Surender Kumar,Module 2F,14.03.2026,DSHI,Worker was standing on top railing of scissor lift & out of scissor lift body in unsafe manner even the anchoring point was also not safe/ standard,"Do not allow to stand on any guard railing of any scissor lift,retrain the worker.",Yes,,,Falling,전도/낙하/부딪힘,추락,0.4935,0.5144
73.0,Hanmi,Rahul Mor,Module GF,16.03.2026,DSHI,Before signalman assigning Work started,Kindly provide signalman before start any work on equipments,Yes,WhatsApp Image 2026-03-16 at 8.28.27 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
74.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,Hankuk,"Protruding rebars in the access way without any rebar caps
Access way is full of trip hazard","Access way should be clear all trip hazard,rebar caps should be provided",Yes,WhatsApp Image 2026-03-16 at 8.35.28 AM,,Falling,전도/낙하/부딪힘,낙하,0.4595,0.3602
75.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,Hankuk,Working at height ( Scaffolding) without anchoring of Safety harness,Kindly anchor the both hooks of safety harness at height work,Yes,WhatsApp Image 2026-03-16 at 8.38.20 AM,,Falling,떨어짐/낙상,추락,0.5176,0.5598
76.0,Hanmi,Rahul Mor,Module 2F,16.03.2026,Hankuk,"Unsafe opening in scaffolding & Uneven much gap in between scaffolding planks
Downside area workers are also working",Kindly close all the opening in the scaffolding area,Yes,WhatsApp Image 2026-03-16 at 8.42.55 AM,,Falling,떨어짐/낙상,추락,0.5241,0.5289
77.0,Hanmi,Rahul Mor,Module 2F,16.03.2026,Hankuk,"Taking shortcut ( unsafe ) to come down by rebars, anchoring in the same ( rebars )",Kindly use safe access way at height,Yes,WhatsApp Image 2026-03-16 at 8.45.51 AM,,Falling,전도/낙하/부딪힘,추락,0.3805,0.3959
78.0,Hanmi,Surender Kumar,Module 1F,16.03.2026,DSHI,working with out any signalman,Kindly provide signalman before start any work on equipments,Yes,WhatsApp Image 2026-03-16 at 8.51.12 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
79.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,DSHI,Housekeeping not maintained in the working area,Kindly maintain proper housekeeping in all working areas,Yes,WhatsApp Image 2026-03-16 at 8.51.37 AM (1),,Others,기타,기타,1.0,1.0
80.0,Hanmi,Surender Kumar,Module 1F,16.03.2026,DSHI,Signalman was resting/sitting in the lifting area itself/inside the barricade,Kindly rest in the designated rest area only,Yes,WhatsApp Image 2026-03-16 at 9.18.19 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
81.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,Hankuk,"Loose materials didn't remove from scaffolding access way, chances of fall of materials",Kindly donot put any loose material in the access way of the scaffolding area,Yes,WhatsApp Image 2026-03-16 at 9.27.01 AM,,Dropping,전도/낙하/부딪힘,낙하,0.49,0.484
82.0,Hanmi,Rahul Mor,Module 2F,16.03.2026,Hankuk,"Worker used unsafe access to reach working point ( scaffolding without guard rail system , without lifeline) even no lifeline was there",Kindly follow safe height work procedure,Yes,WhatsApp Image 2026-03-16 at 9.26.56 AM,,Falling,떨어짐/낙상,추락,0.5202,0.5512
83.0,Hanmi,Rahul Mor,Module 2F,16.03.2026,Hankuk,"Improper signaling system for Lifting 
At 2nd floor no one having walkie talkie for clear signaling directly to crane operator
Moreover crane boom crossing under area workers are working, workers weren't removed from lifting work area range",Kindly arrange proper signaling system during lifting (especially for if there is blind spot for operator during lifting),Yes,WhatsApp Image 2026-03-16 at 10.08.56 AM (1),,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
84.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,DSHI,Slippery place to stand & painting work PPE not used,Kindly provide safe platform & job specific PPE,Yes,WhatsApp Image 2026-03-16 at 10.38.57 AM,,Falling,전도/낙하/부딪힘,추락,0.4283,0.4048
85.0,Hanmi,Surender Kumar,Module 1F,16.03.2026,DSHI,"Contractor Korean manager just near edge area without following fall protection system, no anchor of safety harness, retractable fall arrestor not connected",Kindly follow safe height work procedure,Yes,WhatsApp Image 2026-03-16 at 10.48.39 AM,,Falling,전도/낙하/부딪힘,추락,0.4831,0.4709
86.0,Hanmi,Surender Kumar,Module GF,16.03.2026,DSHI,High pressure gas cylinders in material shifting box without tighten properly,Kindly ensure safe lifting of high pressurized gas cylinders,Yes,WhatsApp Image 2026-03-16 at 2.10.03 PM,,Explosion,화재/탄화,폭발,1.0,1.0
87.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,Hankuk,Lifting work started underneath area was not cordoned off from both sides,Kindly do proper barricade for the working/lifting areas,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
88.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,Hankuk,"Many construction Nails scattered in haphazard manner, not removed",Kindly remove all sharp edges nails from the ground,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.4655,0.4562
89.0,Hanmi,Rahul Mor,Module 2F,16.03.2026,DSHI,Hot work area Housekeeping not done before closing the work,Kindly do housekeeping of all your working areas before work closing,Yes,,,Fire,화재/탄화,화재,1.0,1.0
90.0,Hanmi,Rahul Mor,Module 1F,16.03.2026,Hankuk,Two D shakle without (TPI) inspection tag,Kindly use only inspected tools & tackles.,Yes,,,Others,기타,기타,1.0,1.0
91.0,Hanmi,Rahul Mor,Module 1F,17.03.2026,DSHI,"High risky position
Boom lift is under the crane boom during lifting ( with hanging weight) in line of fire 
Secondly the worker are standing on single narrow beam just near with single anchoring with pp rope ( no secondary fall protection) the load is swinging regularly by which worker can collide & can fall down",Should use alternate option one other boom lift on other side instead of directly standing on beam,Yes,WhatsApp Image 2026-03-17 at 9.14.24 AM (2),,Falling,전도/낙하/부딪힘,추락,0.5359,0.5273
92.0,Hanmi,Rahul Mor,Module 2F,17.03.2026,Hankuk,"Sharp edges rebars just at face height , workers can get face or eye injury by these rebar",Need insulation & reflective  for these all,Yes,WhatsApp Image 2026-03-17 at 9.31.44 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
93.0,Hanmi,Rahul Mor,Module 1F,17.03.2026,DSHI,Korean person sitting on wall in unsafe manner ( Risky position) during lifting trying to push or hold the structure,Kindly avoid these types of high risky work,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
94.0,Hanmi,Surender Kumar,Module 1F,17.03.2026,DSHI,Worker Standing on wall in unsafe manner without proper safe platform & PFAS,Kindly avoid these types of high risky work,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4939,0.5159
95.0,Hanmi,Surender Kumar,Module 1F,17.03.2026,Hankuk,"The reinforcement cage extends significantly beyond the width of the forklift. This increasing the risk of striking nearby personnel, structures, or equipment during turns.",Kindly donot allow these types of risky activities,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
96.0,Hanmi,Rahul Mor,Module 2F,17.03.2026,DSHI,"Ridge cover flashing stored just near edge area at height, during night hours also same unsafe storage",Kindly remove all materials from near edge area,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4158,0.4208
97.0,Hanmi,Rahul Mor,Module 2F,17.03.2026,DSHI,"Unsafe storage at deck sheet area , lots of number of lifeline posts placed near the edge area, don't make material storage area in risky condition ( at height near edge area )",Kindly remove all materials from near edge area,Yes,,,Falling,떨어짐/낙상,추락,0.4131,0.437
